,index-,COUNTRY-,Large-Disputed,Large-In Process,Large-On Hold,Large-Resolved,Large-Shipped,Medium-Cancelled,Medium-Disputed,Medium-In Process,Medium-On Hold,Medium-Resolved,Medium-Shipped,Small-Cancelled,Small-Disputed,Small-In Process,Small-On Hold,Small-Resolved,Small-Shipped
0,0,Australia,0,0,0,0,7,0,2,7,0,0,77,0,3,6,0,0,83
1,1,Austria,0,0,0,0,4,0,0,0,0,5,24,0,0,0,0,3,19
2,2,Belgium,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,13
3,3,Canada,0,0,0,0,1,0,0,0,0,0,33,0,0,0,0,0,36
4,4,Denmark,3,0,0,0,3,0,0,0,0,5,26,0,0,0,0,3,23
5,5,Finland,0,0,0,0,5,0,0,0,0,0,46,0,0,0,0,0,41
6,6,France,0,0,0,0,21,0,0,8,0,0,141,0,0,5,0,0,139
7,7,Germany,0,0,0,0,4,0,0,0,0,0,30,0,0,0,0,0,28
8,8,Ireland,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,8
9,9,Italy,0,0,0,0,7,0,0,0,0,0,44,0,0,0,0,0,62
10,10,Japan,0,0,0,0,3,0,0,0,0,0,21,0,0,0,0,0,28
11,11,Norway,0,0,0,0,5,0,0,0,0,0,42,0,0,0,0,0,38
12,12,Philippines,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,11
13,13,Singapore,0,0,0,0,4,0,0,0,0,0,38,0,0,0,0,0,37
14,14,Spain,2,3,0,0,12,8,3,1,0,10,149,8,1,2,0,8,135
15,15,Sweden,0,0,0,0,2,8,0,0,4,0,19,8,0,0,2,0,14
16,16,Switzerland,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,9
17,17,UK,0,0,0,0,4,9,0,0,0,0,62,5,0,0,0,0,64
18,18,USA,0,0,5,1,58,8,0,2,20,6,469,6,0,2,13,6,408
